DomainLabel	nMuts	nGenes	pfam	Description
FRQ1	13	9	COG5126	Ca2+-binding protein (EF-Hand superfamily) [Signal transduction mechanisms / Cytoskeleton / Cell division and chromosome partitioning / General function prediction only]
Frizzled	13	7	pfam01534	Frizzled/Smoothened family membrane region
Glyco_transf_10	13	6	pfam00852	Glycosyltransferase family 10 (fucosyltransferase)
HDc	13	9	cd00077	Metal dependent phosphohydrolases with conserved 'HD' motif
IG_like	13	12	smart00410	Immunoglobulin like
SR	13	7	smart00202	Scavenger receptor Cys-rich
TPR_12	13	8	pfam13424	Tetratricopeptide repeat
2a30	12	6	TIGR00930	K-Cl cotransporter
7tm_3	12	9	pfam00003	7 transmembrane sweet-taste receptor of 3 GCPR
AslA	12	8	COG3119	Arylsulfatase A and related enzymes [Inorganic ion transport and metabolism]
HECTc	12	10	C-terminal catalytic domain of a subclass of Ubiquitin-protein ligase (E3). It binds specific ubiquitin-conjugating enzymes (E2), accepts ubiquitin from E2, transfers ubiquitin to substrate lysine side chains, and transfers additional...	HECT domain
NACHT	12	8	pfam05729	NACHT domain
Sulfotransfer_3	12	8	pfam13469	Sulfotransferase family
ZnMc_ADAMTS_like	12	7	cd04273	Zinc-dependent metalloprotease, ADAMTS_like subgroup. ADAMs (A Disintegrin And Metalloprotease) are glycoproteins, which play roles in cell signaling, cell fusion, and cell-cell interactions. This particular subfamily represents domain architectures that...
caca	12	3	TIGR00845	sodium/calcium exchanger 1
2A0113	11	7	TIGR00892	monocarboxylate transporter 1
Adaptin_N	11	7	pfam01602	Adaptin N terminal region
AdoMet_MTases	11	9	AdoMet-MTases are enzymes that use S-adenosyl-L-methionine (SAM or AdoMet) as a substrate for methyltransfer, creating the product S-adenosyl-L-homocysteine (AdoHcy)	S-adenosylmethionine-dependent methyltransferases (SAM or AdoMet-MTase), class I
CD20	11	9	pfam04103	CD20-like family
COG1501	11	4	NA	Alpha-glucosidases, family 31 of glycosyl hydrolases [Carbohydrate transport and metabolism]
Cadherin_2	11	9	pfam08266	Cadherin-like
DHC_N1	11	7	pfam08385	Dynein heavy chain, N-terminal region 1
FH2	11	9	pfam02181	Formin Homology 2 Domain
G_alpha	11	7	smart00275	G protein alpha subunit
HELICc	11	11	associated with DEXDc-, DEAD-, and DEAH-box proteins, yeast initiation factor 4A, Ski2p, and Hepatitis C virus NS3 helicases	Helicase superfamily c-terminal domain
HX	11	8	Hemopexin is a heme-binding protein that transports heme to the liver. Hemopexin-like repeats occur in vitronectin and some matrix metalloproteinases family (matrixins). The HX repeats of some matrixins bind tissue inhibitor of...	Hemopexin-like repeats.
Lig_chan	11	8	pfam00060	Ligand-gated ion channel
MFS_1	11	9	pfam07690	Major Facilitator Superfamily
NBD_sugar-kinase_HSP70_actin	11	7	cd00012	Nucleotide-Binding Domain of the sugar kinase/HSP70/actin superfamily
OATP	11	7	pfam03137	Organic Anion Transporter Polypeptide (OATP) family
PMP22_Claudin	11	11	pfam00822	PMP-22/EMP/MP20/Claudin family
PTZ00265	11	3	Provisional	multidrug resistance protein (mdr1)
SCAN	11	8	cd07936	SCAN oligomerization domain
V1R	11	6	cl12106	Vomeronasal organ pheromone receptor family, V1R
VWC	11	10	pfam00093	von Willebrand factor type C domain
VWD	11	4	pfam00094	von Willebrand factor type D domain
pp-GalNAc-T	11	6	cd02510	pp-GalNAc-T initiates the formation of mucin-type O-linked glycans
2A0308	10	4	TIGR00911	L-type amino acid transporter
FReD	10	7	C terminal globular domain of fibrinogen. Fibrinogen is involved in blood clotting, being activated by thrombin to assemble into fibrin clots. The N-termini of 2 times 3 chains come together to form a globular...	Fibrinogen-related domains (FReDs)
LY	10	7	smart00135	Low-density lipoprotein-receptor YWTD domain
MAM	10	7	cd06263	Meprin, A5 protein, and protein tyrosine phosphatase Mu (MAM) domain. MAM is an extracellular domain which mediates protein-protein interactions and is found in a diverse set of proteins, many of which are known to function in cell adhesion. Members...
MT	10	8	pfam12777	Microtubule-binding stalk of dynein motor
MdlB	10	6	COG1132	ABC-type multidrug transport system, ATPase and permease components [Defense mechanisms]
Periplasmic_Binding_Protein_Type_1	10	3	cl10011	Type 1 periplasmic binding fold superfamily
Piwi_piwi-like_Euk	10	3	cd04658	Piwi_piwi-like_Euk: PIWI domain, Piwi-like subfamily found in eukaryotes. This domain is found in Piwi and closely related proteins, where it is believed to perform a crucial role in germline cells, via RNA silencing. RNA silencing refers to a group of...
TBOX	10	6	cd00182	T-box DNA binding domain of the T-box family of transcriptional regulators. The T-box family is an ancient group that appears to play a critical role in development in all animal species. These genes were uncovered on the basis of similarity to the DNA...
TNF	10	8	TNF superfamily members include the cytokines: TNF (TNF-alpha), LT (lymphotoxin-alpha, TNF-beta), CD40 ligand, Apo2L (TRAIL), Fas ligand, and osteoprotegerin (OPG) ligand. These proteins generally have an intracellular N-terminal...	Tumor Necrosis Factor
b_cpa1	10	6	TIGR00840	sodium/hydrogen exchanger 3
AAA_9	9	6	pfam12781	ATP-binding dynein motor region D5
Actin	9	8	pfam00022	Actin
Aldo_ket_red	9	7	cd06660	Aldo-keto reductases (AKRs) are a superfamily of soluble NAD(P)(H) oxidoreductases whose chief purpose is to reduce aldehydes and ketones to primary and secondary alcohols. AKRs are present in all phyla and are of importance to both health and industrial...
COG5307	9	2	NA	SEC7 domain proteins [General function prediction only]
Carn_acyltransf	9	5	pfam00755	Choline/Carnitine o-acyltransferase
Crp	9	8	COG0664	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases [Signal transduction mechanisms]
DENN	9	6	smart00799	Domain found in a variety of signalling proteins, always encircled by uDENN and dDENN
FHA	9	7	found in eukaryotic and prokaryotic proteins. Putative nuclear signalling domain. FHA domains may bind phosphothreonine, phosphoserine and sometimes phosphotyrosine. In eukaryotes, many FHA domain-containing proteins...	Forkhead associated domain (FHA)
GBP	9	6	cd01851	Guanylate-binding protein (GBP) family (N-terminal domain)
GLA	9	6	smart00069	Domain containing Gla (gamma-carboxyglutamate) residues
K_tetra	9	9	pfam02214	K+ channel tetramerisation domain
LRRCT	9	9	smart00082	Leucine rich repeat C-terminal domain
Motor_domain	9	6	cl00286	Myosin and Kinesin motor domain. These ATPases belong to the P-loop NTPase family and provide the driving force in myosin and kinesin mediated processes
Oxysterol_BP	9	5	pfam01237	Oxysterol-binding protein
PAS	9	7	pfam00989	PAS fold
PMG	9	5	NA	NA
PTEN_C2	9	3	pfam10409	C2 domain of PTEN tumour-suppressor protein
Pep_M12B_propep	9	9	pfam01562	Reprolysin family propeptide
RhsA	9	4	COG3209	Rhs family protein [Cell envelope biogenesis, outer membrane]
SERPIN	9	5	cl00137	SERine Proteinase INhibitors (serpins) exhibit conformational polymorphism shifting from native to cleaved, latent, delta, or polymorphic forms. Many serpins, such as antitrypsin and antichymotrypsin, function as serine protease inhibitors which regulate...
SET	9	9	smart00317	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
SOX-TCF_HMG-box	9	6	cd01388	SOX-TCF_HMG-box, class I member of the HMG-box superfamily of DNA-binding proteins. These proteins contain a single HMG box, and bind the minor groove of DNA in a highly sequence-specific manner. Members include SRY and its homologs in insects and...
TBC	9	9	smart00164	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs
TPR_11	9	9	pfam13414	TPR repeat
TUDOR	9	5	pfam00567	Tudor domain
VPS10	9	4	smart00602	VPS10 domain
ZnMc_MMP	9	8	cd04278	Zinc-dependent metalloprotease, matrix metalloproteinase (MMP) sub-family. MMPs are responsible for a great deal of pericellular proteolysis of extracellular matrix and cell surface molecules, playing crucial roles in morphogenesis, cell fate...
central rod domain	9	1	NA	NA
vWA_collagen_alphaI-XII-like	9	4	cd01482	Collagen: The extracellular matrix represents a complex alloy of variable members of diverse protein families defining structural integrity and various physiological functions. The most abundant family is the collagens with more than 20 different...
vWA_integrins_alpha_subunit	9	3	cd01469	Integrins are a class of adhesion receptors that link the extracellular matrix to the cytoskeleton and cooperate with growth factor receptors to promote celll survival, cell cycle progression and cell migration. Integrins consist of an alpha and a beta...
2A0114euk	8	3	TIGR00894	Na(+)-dependent inorganic phosphate cotransporter
3a01204	8	4	TIGR00955	The Eye Pigment Precursor Transporter (EPP) Family protein
ADAM_spacer1	8	5	pfam05986	ADAM-TS Spacer 1
Aa_trans	8	5	pfam01490	Transmembrane amino acid transporter protein
Ank_4	8	8	pfam13637	Ankyrin repeats (many copies)
C8	8	5	pfam08742	C8 domain
CcmA	8	4	COG1131	ABC-type multidrug transport system, ATPase component [Defense mechanisms]
Cullin	8	5	pfam00888	Cullin family
FH	8	8	cd00059	Forkhead (FH), also known as a 'winged helix'.  FH is named for the Drosophila fork head protein, a transcription factor which promotes terminal rather than segmental development. This family of transcription factor domains, which bind to B-DNA as...
Filamin	8	3	pfam00630	Filamin/ABP280 repeat
GLECT	8	6	cd00070	Galectin/galactose-binding lectin. This domain exclusively binds beta-galactosides, such as lactose, and does not require metal ions for activity. GLECT domains occur as homodimers or tandemly repeated domains. They are developmentally regulated and may...
GadB	8	3	COG0076	Glutamate decarboxylase and related PLP-dependent proteins [Amino acid transport and metabolism]
HrpA	8	5	COG1643	HrpA-like helicases [DNA replication, recombination, and repair]
Integrin_alpha2	8	6	pfam08441	Integrin alpha
JmjC	8	4	cl15814	JmjC domain, hydroxylase
KR	8	4	Kringle domains are believed to play a role in binding mediators, such as peptides, other proteins, membranes, or phospholipids. They are autonomous structural domains, found in a varying number of copies, in blood clotting and...	Kringle domain
Keratin_B2_2	8	6	NA	NA
Laminin_N	8	5	pfam00055	Laminin N-terminal (Domain VI)
Lipase	8	4	cl14883	Lipase.  Lipases are esterases that can hydrolyze long-chain acyl-triglycerides into di- and monoglycerides, glycerol, and free fatty acids at a water/lipid interface. A typical feature of lipases is 'interfacial activation', the process of becoming...
Lipocalin	8	8	cl01150	Lipocalin / cytosolic fatty-acid binding protein family
MBOAT	8	8	cl00738	MBOAT, membrane-bound O-acyltransferase family
MRP_assoc_pro	8	4	TIGR00957	multi drug resistance-associated protein (MRP)
PHD	8	8	pfam00628	PHD-finger
PKc	8	7	cd00180	Catalytic domain of Protein Kinases
PLN00220	8	4	Provisional	tubulin beta chain
PTZ00009	8	4	Provisional	heat shock 70 kDa protein
PTZ00107	8	4	Provisional	hexokinase
REM	8	6	N-terminal domain (RasGef_N), also called REM domain (Ras exchanger motif). This domain is common in nucleotide exchange factors for Ras-like small GTPases and is typically found immediately...	Guanine nucleotide exchange factor for Ras-like GTPases
RYDR_ITPR	8	5	pfam01365	RIH domain
SMC_N	8	3	pfam02463	RecF/RecN/SMC N terminal domain
Sugar_tr	8	7	pfam00083	Sugar (and other) transporter
Sulfotransfer_1	8	7	pfam00685	Sulfotransferase domain
TNFR	8	6	superfamily of TNF-like receptor domains. When bound to TNF-like cytokines, TNFRs trigger multiple signal transduction pathways, they are involved in inflammation response, apoptosis, autoimmunity and...	Tumor necrosis factor receptor (TNFR) domain
UBQ	8	7	smart00213	Ubiquitin homologues
alpha-1-antitrypsin_like	8	5	cd02056	alpha-1-antitrypsin_like. This family contains a variety of different members of clade A of the serpin superfamily. They include the classical serine proteinase inhibitors, alpha-1-antitrypsin and alpha-1-antichymotrypsin, protein C inhibitor
extracellular domain	8	2	NA	NA
hCaCC	8	3	TIGR00868	calcium-activated chloride channel protein 1
A2M_N_2	7	5	pfam07703	Alpha-2-macroglobulin family N-terminal region
AAA_6	7	5	pfam12774	Hydrolytic ATP binding site of dynein motor region D1
ABC_membrane	7	5	pfam00664	ABC transporter transmembrane region
APC_crr	7	1	pfam05923	APC cysteine-rich region
ATPase-IIA1_Ca	7	3	TIGR01116	sarco/endoplasmic reticulum calcium-translocating P-type ATPase
Annexin	7	5	pfam00191	Annexin
ArfGap	7	5	pfam01412	Putative GTPase activating protein for Arf
BPI1	7	6	Bactericidal permeability-increasing protein (BPI) / Lipopolysaccharide-binding protein (LBP) / Cholesteryl ester transfer protein (CETP) N-terminal domain	BPI/LBP/CETP N-terminal domain
BRLZ	7	6	smart00338	basic region leucin zipper
COLFI	7	5	cl02436	Fibrillar collagen C-terminal domain
COX2	7	3	cl11412	Cytochrome C oxidase subunit II, periplasmic domain
CTNNB1_binding	7	2	pfam08347	N-terminal CTNNB1 binding
CaiC	7	4	COG0318	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II [Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism]
Calpain_III	7	5	cd00214	Calpain, subdomain III. Calpains are calcium-activated cytoplasmic cysteine proteinases, participate in cytoskeletal remodeling processes, cell differentiation, apoptosis and signal transduction. Catalytic domain and the two calmodulin-like domains are...
Calx-beta	7	4	cl02522	Calx-beta domain
DAGK_cat	7	3	pfam00781	Diacylglycerol kinase catalytic domain
DSPc	7	6	Ser/Thr and Tyr protein phosphatases. Structurally similar to tyrosine-specific phosphatases but with a shallower active site cleft and a distinctive active site signature motif, HCxxGxxR. Characterized as VHR- or...	Dual specificity phosphatases (DSP)
DUF3358	7	5	pfam11838	Domain of unknown function (DUF3358)
DUF3414	7	1	pfam11894	Protein of unknown function (DUF3414)
DltE	7	4	COG0300	Short-chain dehydrogenases of various substrate specificities [General function prediction only]
EPTP	7	4	pfam03736	EPTP domain
ETS_PEA3_N	7	3	pfam04621	PEA3 subfamily ETS-domain transcription factor N terminal domain
F-box-like	7	7	pfam12937	F-box-like
FGF	7	7	FGFs are mitogens, which stimulate growth or differentiation of cells of mesodermal or neuroectodermal origin. The family plays essential roles in patterning and differentiation during vertebrate...	Acidic and basic fibroblast growth factor family
Glypican	7	5	pfam01153	Glypican
Guanylate_kin	7	7	pfam00625	Guanylate kinase
HP_PGM_like	7	4	contains a His residue which is phosphorylated during the reaction	Histidine phosphatase domain found in phosphoglycerate mutases and related proteins, mostly phosphatases
KISc	7	3	smart00129	Kinesin motor, catalytic domain. ATPase
MAGE	7	6	pfam01454	MAGE family
MBT	7	4	smart00561	Present in Drosophila Scm, l(3)mbt, and vertebrate SCML2
MH1_SMAD_2_3	7	2	cd10491	N-terminal Mad Homology 1 (MH1) domain in SMAD2 and SMAD3
MH2_SMAD_4	7	1	cd10498	C-terminal Mad Homology 2 (MH2) domain in SMAD4
MIP	7	7	cd00333	Major intrinsic protein (MIP) superfamily. Members of the MIP superfamily function as membrane channels that selectively transport water, small neutral molecules, and ions out of and between cells. The channel proteins share a common fold: the N-terminal...
OLF	7	6	pfam02191	Olfactomedin-like domain
PBP1_mGluR_groupIII	7	2	cd06376	Ligand-binding domain of the group III metabotropic glutamate receptor
PHA02782	7	4	Provisional	hypothetical protein
PHA02820	7	3	Provisional	phospholipase-D-like protein
PI3Ka_I	7	1	PIK domain is conserved in all PI3 and PI4-kinases. Its role is unclear but it has been suggested to be involved in substrate presentation. In general, PI3K class I prefer phosphoinositol (4,5)...	Phosphoinositide 3-kinase (PI3K) class I, accessory domain
PLN03192	7	3	Provisional	Voltage-dependent potassium channel
PP2Cc	7	7	The protein architecture and deduced catalytic mechanism of PP2C phosphatases are similar to the PP1, PP2A, PP2B family of protein Ser/Thr phosphatases, with which PP2C shares no sequence...	Serine/threonine phosphatases, family 2C, catalytic domain
PTZ00169	7	4	Provisional	ADP/ATP transporter on adenylate translocase
Peptidase_M2	7	2	pfam01401	Angiotensin-converting enzyme
Plexin_cytopl	7	4	pfam08337	Plexin cytoplasmic RasGAP domain
SLC5-6-like_sbd	7	6	solute binding domain	Solute carrier families 5 and 6-like
SbcC	7	4	COG0419	ATPase involved in DNA repair [DNA replication, recombination, and repair]
Spc97_Spc98	7	5	pfam04130	Spc97 / Spc98 family
TTL	7	3	pfam03133	Tubulin-tyrosine ligase family
Ten_N	7	4	pfam06484	Teneurin Intracellular Region
ZnMc_adamalysin_II_like	7	6	adamalysin_II_like subfamily. Adamalysin II is a snake venom zinc endopeptidase. This subfamily contains other snake venom metalloproteinases, as well as membrane-anchored metalloproteases belonging to the ADAM family	Zinc-dependent metalloprotease
hnRNP-R-Q	7	3	TIGR01648	heterogeneous nuclear ribonucleoprotein R, Q family
sucA	7	3	Reviewed	2-oxoglutarate dehydrogenase E1 component
wnt	7	6	pfam00110	wnt family
ACTIN	6	4	smart00268	Actin
AMN1	6	6	cd09293	Antagonist of mitotic exit network protein 1
ATPase-IB1_Cu	6	2	TIGR01511	copper-(or silver)-translocating P-type ATPase
ATPase-IIB_Ca	6	2	TIGR01517	plasma-membrane calcium-translocating P-type ATPase
Abhydrolase_6	6	5	pfam12697	Alpha/beta hydrolase family
CASc	6	6	Cysteine-dependent aspartate-directed proteases that mediate programmed cell death (apoptosis). Caspases are synthesized as inactive zymogens and activated by proteolysis of the peptide...	Caspase, interleukin-1 beta converting enzyme (ICE) homologues
CHROMO	6	4	cd00024	Chromatin organization modifier (chromo) domain is a conserved region of around 50 amino acids found in a variety of chromosomal proteins, which appear to play a role in the functional organization of the eukaryotic nucleus. Experimental evidence...
CLECT_NK_receptors_like	6	6	cd03593	C-type lectin-like domain (CTLD) of the type found in natural killer cell receptors (NKRs)
COE_DBD	6	4	cd11606	Colier/Olf/Early B-cell factor (EBF) DNA Binding Domain
COG1204	6	3	NA	Superfamily II helicase [General function prediction only]
COG3391	6	5	NA	Uncharacterized conserved protein [Function unknown]
COG5028	6	3	NA	Vesicle coat complex COPII, subunit SEC24/subunit SFB2/subunit SFB3 [Intracellular trafficking and secretion]
CY	6	5	Cystatins are a family of cysteine protease inhibitors that occur mainly as single domain proteins. However some extracellular proteins such as kininogen, His-rich glycoprotein and fetuin also contain these domains	Cystatin-like domain
CaKB	6	4	pfam03185	Calcium-activated potassium channel, beta subunit
DPPIV_N	6	4	pfam00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region
DUF3451	6	6	pfam11933	Domain of unknown function (DUF3451)
Domain I/II	6	1	NA	C-terminal domain
ENaC	6	5	TIGR00859	sodium channel transporter
